method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-001000/object_residual_2p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6899,67,28.6707,67,25.5025,67,4.0526,67,3.9791,67,3.4925,0,0.0,67,3.5522,67,0.9604,67,0.9692,67,0.9958,67,0.9958,67,0.4179,67,0.4681,67,0.6842
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-001500/object_residual_1p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6893,67,27.8101,67,24.9858,67,3.9476,67,3.8713,67,3.5224,0,0.0,67,3.7761,67,0.9592,67,0.9674,67,0.9957,67,0.9959,67,0.4478,67,0.4704,67,0.6803
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-001500/object_residual_1p5x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6896,67,28.6797,67,25.591,67,3.9533,67,3.8748,67,3.5522,0,0.0,67,3.7612,67,0.9583,67,0.9672,67,0.9956,67,0.9959,67,0.4179,67,0.4683,67,0.6793
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-001500/object_residual_2p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6917,67,29.2507,67,25.9721,67,3.9237,67,3.8435,67,3.4328,0,0.0,67,3.5672,67,0.9546,67,0.9658,67,0.9949,67,0.9953,67,0.4627,67,0.4683,67,0.6779
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-002000/object_residual_1p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6893,67,29.0249,67,26.1645,67,3.9801,67,3.9061,67,3.5672,0,0.0,67,3.9403,67,0.9607,67,0.9677,67,0.9961,67,0.9962,67,0.4478,67,0.4709,67,0.6803
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-002000/object_residual_1p5x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6903,67,30.1966,67,27.2288,67,3.9934,67,3.9193,67,3.5075,0,0.0,67,3.7164,67,0.9601,67,0.9692,67,0.996,67,0.996,67,0.4328,67,0.4698,67,0.679
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-002000/object_residual_2p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6917,67,30.6606,67,27.5345,67,3.9667,67,3.8816,67,3.4925,0,0.0,67,3.6716,67,0.9572,67,0.9667,67,0.9956,67,0.9956,67,0.4328,67,0.4668,67,0.6735
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-003500/object_residual_1p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6889,67,29.1351,67,26.501,67,3.9724,67,3.8968,67,3.5672,0,0.0,67,3.8955,67,0.9594,67,0.9675,67,0.9959,67,0.996,67,0.4478,67,0.4704,67,0.6803
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-003500/object_residual_1p5x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6903,67,28.3863,67,25.5351,67,3.9732,67,3.8938,67,3.5075,0,0.0,67,3.6119,67,0.958,67,0.9667,67,0.9954,67,0.9956,67,0.4478,67,0.4695,67,0.6757
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-003500/object_residual_2p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6926,67,28.6288,67,24.6779,67,3.9405,67,3.8557,67,3.4478,0,0.0,67,3.6269,67,0.9562,67,0.9657,67,0.9946,67,0.9948,67,0.4478,67,0.4657,67,0.6754
train_stage1b_raw49f_scheme_c_entity_caption_physical_fresh_20260714T174707Z_step-002500_steps40_512x896_ctx08_49f_nullnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_scheme_c_entity_caption_physical_fresh_20260714T174707Z/step-002500/object_residual_1p0x/results,68,68,0.6875,68,28.7954,68,26.901,68,4.2,68,4.128,68,3.6324,0,0.0,68,3.7647,68,0.9642,68,0.969,68,0.9969,68,0.9966,68,0.2794,68,0.4663,68,0.6853
train_stage1b_raw49f_scheme_c_entity_caption_physical_fresh_20260714T174707Z_step-002500_steps40_512x896_ctx08_49f_nullnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_scheme_c_entity_caption_physical_fresh_20260714T174707Z/step-002500/object_residual_1p5x/results,68,68,0.6888,68,29.7126,68,26.6431,68,4.1899,68,4.1139,68,3.6029,0,0.0,68,3.8676,68,0.961,68,0.9675,68,0.9967,68,0.9964,68,0.3382,68,0.4674,68,0.684
train_stage1b_raw49f_scheme_c_entity_caption_physical_fresh_20260714T174707Z_step-002500_steps40_512x896_ctx08_49f_nullnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_scheme_c_entity_caption_physical_fresh_20260714T174707Z/step-002500/object_residual_2p0x/results,68,68,0.689,68,30.2462,68,27.2897,68,4.1507,68,4.0629,68,3.6029,0,0.0,68,3.7941,68,0.9621,68,0.9692,68,0.9967,68,0.9963,68,0.3088,68,0.4661,68,0.6829
train_stage1b_raw49f_scheme_c_entity_caption_physical_fresh_20260714T174707Z_step-003500_steps40_512x896_ctx08_49f_nullnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_scheme_c_entity_caption_physical_fresh_20260714T174707Z/step-003500/object_residual_1p0x/results,68,68,0.6884,68,26.4091,68,23.1022,68,4.1963,68,4.1168,68,3.5588,0,0.0,68,3.7794,68,0.9613,68,0.9679,68,0.9967,68,0.9964,68,0.3529,68,0.4676,68,0.6883
train_stage1b_raw49f_scheme_c_entity_caption_physical_fresh_20260714T174707Z_step-003500_steps40_512x896_ctx08_49f_nullnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_scheme_c_entity_caption_physical_fresh_20260714T174707Z/step-003500/object_residual_1p5x/results,68,68,0.6903,68,26.6197,68,23.4053,68,4.1438,68,4.0568,68,3.6029,0,0.0,68,4.0735,68,0.959,68,0.9675,68,0.9965,68,0.9962,68,0.4118,68,0.4668,68,0.6849
train_stage1b_raw49f_scheme_c_entity_caption_physical_fresh_20260714T174707Z_step-003500_steps40_512x896_ctx08_49f_nullnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_scheme_c_entity_caption_physical_fresh_20260714T174707Z/step-003500/object_residual_2p0x/results,68,68,0.6912,68,29.0968,68,26.0237,68,4.0858,68,3.9912,68,3.6471,0,0.0,68,3.7647,68,0.9584,68,0.9659,68,0.9965,68,0.9959,68,0.3824,68,0.4661,68,0.6824
