method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,22,22,0.6852,22,21.9255,22,18.645,22,3.9414,22,3.8733,22,3.5909,0,0.0,22,3.5909
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_emptynegprompt_noobj,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_emptynegprompt_noobj,22,11,0.6806,1,23.21,1,11.92,1,3.0315,1,2.9322,13,3.5385,0,0.0,13,4.4615
run_gpu0235_20260703_step-007000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-007000_steps40_512x896_ctx08_49f_defaultnegprompt,22,22,0.6828,22,31.0523,22,28.1732,22,4.1386,22,4.0732,22,3.6818,0,0.0,22,4.4545
run_gpu0235_20260703_step-007000_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-007000_steps40_512x896_ctx08_49f_defaultnegprompt_noobj_retry_wrapper,22,0,0.0,1,23.16,1,12.85,1,2.9422,1,2.8539,0,0.0,0,0.0,0,0.0
run_gpu0235_20260703_step-002500,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/step-002500,22,22,0.6863,22,38.9423,22,33.1105,22,4.7537,22,4.5583,22,3.8182,0,0.0,22,4.6818
run_gpu0235_20260703_step-007000,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/step-007000,22,22,0.6859,22,38.9391,22,33.33,22,4.6585,22,4.5529,22,3.8182,0,0.0,22,4.1818
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/WRONG_FROM_TRAIN0705_run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,22,0,0.0,1,22.44,1,11.4,1,3.0286,1,2.9486,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_regdiag_resume3500_20260710_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_regdiag_resume3500_20260710_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.687,67,27.9985,67,24.8545,67,4.0158,67,3.9451,67,3.597,0,0.0,49,3.7551
train_stage1b_kubric0708_regdiag_resume3500_20260710_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_regdiag_resume3500_20260710_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt,67,0,0.0,3,32.9433,3,16.0633,3,3.9306,3,3.8155,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_regdiag_resume3500_20260710_step-005000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_regdiag_resume3500_20260710_step-005000_steps40_512x896_ctx08_49f_defaultnegprompt,67,0,0.0,3,24.2767,3,10.1,3,3.5438,3,3.4428,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003000_steps40_512x896_ctx08_49f_defaultnegprompt,67,0,0.0,3,39.61,3,18.4933,3,4.0634,3,3.9718,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,0,0.0,3,28.18,3,13.0367,3,3.9281,3,3.8152,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,67,0,0.0,3,28.4333,3,12.9967,3,3.922,3,3.8088,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-002000_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-002000_ctx08_49f_480x832,67,0,0.0,3,38.3867,3,16.9833,3,4.0621,3,3.9798,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-002500_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-002500_ctx08_49f,67,67,0.6871,67,30.6767,67,27.1025,67,4.0868,67,4.0041,67,3.597,0,0.0,67,3.7313
train_stage1b_kubric0708_step-003500_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-003500_ctx08_49f,67,0,0.0,3,32.1133,3,15.9667,3,4.1146,3,3.9967,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6891,67,29.2925,67,26.5551,67,3.897,67,3.8206,67,3.5672,0,0.0,67,3.6866
train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_full_physiciq_20260712_legacy,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_full_physiciq_20260712_legacy,67,0,0.0,3,42.9367,3,21.6133,3,4.3017,3,4.2035,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_3cases_20260712_temporal_sam2,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_full_physiciq_20260712_temporal_sam2,67,0,0.0,3,42.8367,3,21.7967,3,4.2898,3,4.1923,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6866,67,27.9043,67,24.6716,67,4.1304,67,4.0664,67,3.6119,0,0.0,67,3.9403
train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_3cases_20260712_legacy,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_full_physiciq_20260712_legacy,67,0,0.0,3,41.14,3,20.81,3,4.3619,3,4.2662,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_3cases_20260712_temporal_sam2,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt_queryscheme_matrix_full_physiciq_20260712_temporal_sam2,67,0,0.0,3,41.4133,3,20.7667,3,4.3646,3,4.2688,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6847,67,29.057,67,26.1691,67,3.851,67,3.7808,67,3.6418,0,0.0,67,3.791
train_stage1b_kubric0708_step-005000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-005000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6849,67,30.1213,67,26.0028,67,3.6993,67,3.6227,67,3.6119,0,0.0,67,3.791
